Customer_ID,Customer_Name,Customer_Type,Industry,Region,Country,City,Email,Phone,Registration_Date,Account_Status,Payment_Terms,Credit_Limit,Account_Manager
CUST00028,Peterson-Sheppard,SMB,IT,West,India,Shelleyfort,shortrichard@ray.com,(529)841-3186,2025-06-05,Inactive,Net 15,89353,Arjun Kumar
CUST00029,Evans-Chapman,Retail,Education,East,USA,Torreston,mezajared@baker.com,928.612.0679,2021-11-15,Suspended,Net 15,641460,Rahul Sharma
CUST00030,Roberts LLC,Retail,IT,East,India,Jonesbury,kristin93@wilson-walker.com,621-802-4994x717,2023-11-29,Inactive,Net 30,687147,Sneha Patel
CUST00031,"Fernandez, Kim and George",Retail,IT,North,UK,Navarroview,davissuzanne@matthews.com,001-802-978-7429,2022-05-16,Inactive,Net 30,792452,Arjun Kumar
CUST00032,Bailey-Cook,SMB,Education,West,Singapore,Port Eugenechester,zroberts@johnson.com,001-268-508-7603x85977,2023-11-13,Suspended,Net 45,159751,John Thomas
CUST00033,"Anderson, Roberts and Gilmore",Enterprise,Logistics,South,Australia,Martinezbury,lancesmith@davis-gay.com,412.874.8467x737,2023-03-21,Inactive,Net 30,663333,John Thomas
CUST00034,"Romero, Suarez and Shields",Government,IT,North,Singapore,Kendrachester,sarah84@campbell.org,001-872-978-7558,2024-05-01,Suspended,Net 30,101663,Sneha Patel
CUST00035,Pollard and Sons,Government,Telecom,West,UK,Hallchester,floresthomas@hughes-alvarado.com,802.489.5171x8702,2022-03-26,Suspended,Net 30,609042,John Thomas
CUST00036,Harrington-Baker,Retail,Logistics,West,India,Santosmouth,ofinley@clay.org,434-631-6117,2021-11-03,Active,Net 60,121295,Priya Nair
CUST00037,Nguyen Inc,Retail,IT,East,Singapore,Michaelchester,johnjenkins@sparks.biz,+1-637-492-3747x407,2022-03-23,Active,Net 15,424705,Priya Nair
CUST00038,Landry-Huerta,Government,Logistics,West,USA,Daniellechester,stephen43@castaneda-rodriguez.biz,001-259-944-0640,2024-01-12,Active,Net 60,520587,Rahul Sharma
CUST00039,Lawson LLC,SMB,IT,West,Singapore,Lake James,erica21@lucas.org,(621)445-6232x858,2023-10-13,Active,Net 15,341999,John Thomas
CUST00040,Coffey-Phillips,Government,IT,North,UK,Lindamouth,taylortammy@ramsey.net,(716)304-8175x496,2023-08-02,Suspended,Net 60,640978,Arjun Kumar
CUST00041,Johnson-Henson,Retail,Education,West,India,Rosebury,reidsteven@turner.com,471-813-8267x5869,2022-06-09,Suspended,Net 15,82711,Arjun Kumar
CUST00042,Gilbert-Crosby,SMB,Telecom,South,UK,Antoniostad,scottsampson@garcia-jennings.net,+1-750-564-3171x3900,2022-09-01,Inactive,Net 15,787378,Rahul Sharma
CUST00043,"Harris, Gallegos and Spencer",Enterprise,Finance,West,USA,Port Molly,kim90@garrison-thomas.com,+1-742-210-2053,2023-01-29,Inactive,Net 30,831474,Sneha Patel
CUST00044,Williams-Harmon,Enterprise,Telecom,North,Singapore,Lake Brycemouth,william17@walker.net,470-307-6617x7115,2022-09-02,Active,Net 30,927844,Arjun Kumar
CUST00045,Weber-Richards,Retail,Logistics,East,India,Oscarhaven,shawn96@mcguire.net,001-736-673-6576x6156,2024-10-11,Active,Net 60,775451,John Thomas
CUST00046,Mcdaniel Group,Government,Education,East,Australia,North Marieland,vdavis@cain-hawkins.org,+1-685-716-5604,2022-06-23,Suspended,Net 30,449111,John Thomas
CUST00047,"Romero, Moore and Olson",Government,Finance,North,India,West Meganstad,farmeraudrey@bruce-villegas.org,+1-480-494-0244x550,2026-05-31,Suspended,Net 60,710960,Sneha Patel
CUST00048,"Morales, Thomas and Schultz",Retail,Manufacturing,West,UK,North Julieborough,vbarnes@wood.com,001-999-810-2290x14767,2023-12-02,Suspended,Net 60,946048,Rahul Sharma
CUST00049,Fischer Inc,Retail,Telecom,South,Australia,Russellport,trose@walker.com,2349324451,2025-04-04,Inactive,Net 15,879957,John Thomas
CUST00050,Anderson PLC,Retail,IT,North,Australia,New Angelica,charles06@stevens.com,001-769-466-4160,2025-07-05,Active,Net 30,488452,John Thomas
CUST00051,"Gillespie, Davis and Richard",Retail,IT,West,Australia,South Brianna,fosterkyle@walker-maxwell.com,418.383.5523x12432,2023-02-07,Active,Net 60,318246,Rahul Sharma
CUST00052,"Snyder, Webster and Wolf",Retail,Healthcare,West,USA,Maldonadoshire,michelle52@jones-ramos.com,690-358-1477x005,2022-05-13,Active,Net 30,563758,Priya Nair
CUST00053,"Wheeler, Cruz and Carpenter",Government,Education,West,USA,South Reginashire,marcalvarez@rosario.com,618-820-3778x89255,2025-01-27,Suspended,Net 30,68070,Priya Nair
CUST00054,Shelton-Williams,Government,Healthcare,South,USA,Cameronville,umitchell@brandt.com,001-825-746-2914,2022-09-07,Inactive,Net 15,208823,Rahul Sharma
CUST00055,"Warner, Valentine and Osborn",Enterprise,Healthcare,South,Australia,Lake Ellenhaven,andrew42@peterson.com,222.714.1888,2022-09-17,Inactive,Net 45,492905,John Thomas
CUST00056,"Bennett, Martin and Guerra",SMB,IT,West,Australia,Lake Samuel,udiaz@montes.com,001-873-483-4735x97746,2023-04-18,Inactive,Net 45,270984,Arjun Kumar
CUST00057,"Taylor, Wright and Davidson",Enterprise,Telecom,North,Singapore,Angelaville,mitchellkathryn@cole-palmer.biz,737-550-6068,2024-11-17,Suspended,Net 45,174046,Arjun Kumar
CUST00058,Brooks Inc,SMB,Finance,West,UK,Sarahmouth,devinmitchell@horton-taylor.info,390.610.4328x986,2023-08-14,Active,Net 30,755086,Sneha Patel
CUST00059,Martinez-Allen,SMB,Finance,South,India,Brownfort,chenbailey@thomas.com,001-262-818-5188,2025-08-05,Inactive,Net 30,234078,John Thomas
CUST00060,Reid LLC,Retail,Manufacturing,North,Australia,Juliestad,cooperjessica@garcia.com,3589527722,2021-11-28,Active,Net 45,661523,Sneha Patel
CUST00061,Harris-Moody,Retail,Telecom,South,UK,West Sarahhaven,ihays@king-mullins.com,950-954-1566x7652,2024-09-20,Suspended,Net 60,123523,Sneha Patel
CUST00062,"Adams, Miller and Coleman",SMB,Telecom,South,UK,Morrisonburgh,manuel15@phillips.com,001-775-470-5964x016,2021-11-10,Active,Net 60,394894,John Thomas
CUST00063,Allison Ltd,Retail,Finance,East,USA,Johnsonland,kimberlydiaz@herring-johnson.com,+1-375-257-1928x56543,2023-03-07,Active,Net 30,58308,Rahul Sharma
CUST00064,Holmes-Mcintyre,Retail,Manufacturing,North,USA,West Kimberlymouth,wendymitchell@gonzalez-taylor.com,427.715.5188x442,2025-12-03,Inactive,Net 15,967230,Priya Nair
CUST00065,Martinez and Sons,Retail,Education,South,India,East Kristy,wardashley@lara-arnold.org,314-467-8669,2024-04-16,Active,Net 15,423632,Sneha Patel
CUST00066,"Jones, Owens and Holmes",Government,Logistics,North,Australia,Port Kimberly,katrinaanderson@bartlett.com,422-653-5841x4384,2026-02-18,Suspended,Net 45,790427,Priya Nair
CUST00067,Shaw and Sons,Retail,Healthcare,North,India,East Donna,megan90@miller.org,839-669-0784x473,2025-06-15,Active,Net 30,59435,Sneha Patel
CUST00068,Barker and Sons,Government,IT,South,Singapore,Perrymouth,matthewthomas@flores.biz,(658)981-5371,2023-09-15,Active,Net 60,356063,Priya Nair
CUST00069,Davis LLC,SMB,Manufacturing,East,Singapore,Linchester,sydneybarrera@peck-griffith.com,001-527-787-7470x16873,2022-01-04,Active,Net 30,109101,Sneha Patel
CUST00070,Campbell PLC,Government,Finance,South,Australia,Mitchelltown,jordannicole@diaz.com,001-983-658-4168,2022-08-10,Inactive,Net 60,483374,Priya Nair
CUST00071,Hester Group,SMB,Healthcare,South,India,Lauramouth,kari39@morales.com,687.729.8259x5269,2025-11-29,Active,Net 15,447827,Priya Nair
CUST00072,"Patel, Erickson and Evans",Enterprise,Telecom,West,UK,West Markville,ysilva@wiggins.com,+1-299-330-9728x9623,2023-03-21,Inactive,Net 45,403824,Rahul Sharma
CUST00073,Alexander Group,Enterprise,Healthcare,East,Australia,South Hannah,nshaw@salas-fitzgerald.com,001-728-738-5786x527,2023-11-05,Suspended,Net 15,88304,Priya Nair
CUST00074,"Washington, Bernard and Ramirez",Government,Telecom,North,Australia,Jeffreyport,janet75@bailey-peck.com,919-686-6524x0415,2025-09-02,Suspended,Net 30,717521,Sneha Patel
CUST00075,Harris PLC,Government,Finance,East,India,Sarahview,danielyang@sanchez.net,230.416.5712,2025-01-21,Inactive,Net 60,662956,Priya Nair
CUST00076,"Donovan, Johns and Woods",SMB,Finance,South,USA,Port Tamara,justin01@andrews.com,(262)606-7240,2026-06-05,Suspended,Net 15,856790,Arjun Kumar
CUST00077,"Rodriguez, Bird and Mitchell",SMB,Manufacturing,South,Australia,Smallberg,znelson@rivera.info,+1-742-305-4932x9668,2025-01-02,Suspended,Net 15,581831,Arjun Kumar
CUST00078,"Davis, Holden and Woods",Enterprise,Manufacturing,North,India,North Jose,seanadams@turner-sharp.com,653-701-7426x841,2023-06-23,Inactive,Net 15,593176,John Thomas
CUST00079,Bernard Group,Enterprise,Healthcare,West,Singapore,South Julie,robert87@pham.org,587-485-1910,2022-12-30,Inactive,Net 15,246582,Sneha Patel
CUST00080,Bond-Ramos,Retail,IT,East,Australia,Lake Brandy,nolansean@chavez.biz,390.287.4064x039,2025-03-14,Suspended,Net 15,904882,Rahul Sharma
CUST00081,Graves-Weaver,SMB,IT,North,Singapore,North Valeriefort,mitchellhector@cannon.biz,(867)466-1825x128,2023-06-28,Active,Net 30,169180,John Thomas
CUST00082,Avila LLC,Government,IT,West,Singapore,Nunezside,opatel@murray.com,310.269.0331,2025-05-24,Active,Net 15,991970,Arjun Kumar
CUST00083,"Powers, Brennan and Sanchez",Enterprise,Logistics,West,Singapore,South Scottside,karenparsons@gordon.com,001-695-299-5342x8364,2026-05-01,Suspended,Net 30,55486,Sneha Patel
CUST00084,"Hobbs, Buck and Garrett",Enterprise,Healthcare,West,India,Peterston,shelly68@horton-russell.com,(428)873-3427x0866,2023-08-30,Suspended,Net 15,811315,Sneha Patel
CUST00085,Harris-Lucas,Government,IT,East,Australia,Booneland,brettbennett@morrison.org,001-583-873-5403x3173,2023-08-19,Active,Net 30,595977,Priya Nair
CUST00086,"Morris, Campbell and Owens",Enterprise,Healthcare,East,Australia,Kylestad,zowens@harrison.com,560-793-2048x99642,2023-07-21,Suspended,Net 45,581089,Arjun Kumar
CUST00087,Hudson-Sanchez,Enterprise,Finance,South,Singapore,Jonathanfort,umurray@jackson-cortez.info,(480)580-1006,2022-03-05,Active,Net 15,487477,Sneha Patel
CUST00088,"Hernandez, Robinson and Bryant",Retail,Finance,North,USA,New Danafort,ismith@jenkins.net,608-762-1182x3398,2023-11-14,Suspended,Net 30,567313,Sneha Patel
CUST00089,Miller-Chung,Enterprise,Manufacturing,South,UK,Cunninghambury,gabriella10@sullivan.net,500.921.7659x1803,2023-11-26,Active,Net 15,288067,Rahul Sharma
CUST00090,Glass Ltd,Government,Logistics,North,Australia,Rachelshire,whitemelissa@ali.com,001-761-242-9396x85621,2022-06-05,Inactive,Net 60,69870,John Thomas
CUST00091,Hall-Jones,Enterprise,Telecom,South,UK,Novakmouth,walterskristen@henry-kelly.biz,(829)761-9431x14262,2024-08-30,Inactive,Net 30,799074,John Thomas
CUST00092,Davis LLC,Enterprise,Manufacturing,South,Singapore,Wardview,andersonjacob@hawkins-hunt.com,2156819956,2025-02-11,Inactive,Net 30,80355,Arjun Kumar
CUST00093,Maxwell-Hardy,Retail,Manufacturing,East,India,New Adriana,rjackson@adams-thomas.com,(346)447-1543x79937,2024-03-09,Suspended,Net 15,613586,Sneha Patel
CUST00094,Rush LLC,Retail,Education,North,Singapore,Brockmouth,pcook@taylor.com,752.365.4793x5646,2026-05-23,Active,Net 15,870023,Rahul Sharma
CUST00095,Vargas PLC,SMB,Manufacturing,South,USA,Lake Katrina,bentonsteven@clark.com,(872)843-4266x17979,2026-03-22,Active,Net 60,465916,Sneha Patel
CUST00096,Gibbs LLC,Government,Manufacturing,West,Australia,North Kaylastad,deborahwilliams@byrd.biz,501-943-8889,2024-10-11,Suspended,Net 60,333876,Arjun Kumar
CUST00097,Ford-Frazier,Government,Healthcare,West,India,West Whitney,agarcia@wilson.com,(745)373-8757x177,2024-02-24,Inactive,Net 45,67640,Rahul Sharma
CUST00098,Patrick Inc,SMB,Logistics,East,India,Port Matthewville,sarahyang@thompson.info,962.826.6093,2024-11-26,Active,Net 30,418501,John Thomas
CUST00099,Bush and Sons,Retail,Logistics,North,UK,Karenland,lloydamanda@nguyen-ellis.com,+1-478-659-6969x15579,2022-04-26,Inactive,Net 60,61023,Arjun Kumar
CUST00100,"Anderson, Wilson and Torres",Retail,Telecom,North,USA,West Heather,ibarnes@reyes.com,+1-227-742-2579,2021-09-04,Inactive,Net 60,396809,Arjun Kumar
CUST00101,Taylor-Ochoa,SMB,Telecom,West,Australia,Ortizfort,cmckinney@jackson-cunningham.com,304-638-4279x7881,2026-03-20,Active,Net 60,594447,John Thomas
CUST00102,Weaver-Sherman,SMB,Logistics,North,India,Paynechester,fitzgeralddesiree@evans.info,451-571-3395x962,2023-05-10,Active,Net 15,369187,Sneha Patel
CUST00103,Hudson PLC,Retail,Manufacturing,North,UK,Candiceburgh,tiffany44@adams.com,(560)842-2325,2025-10-04,Active,Net 30,448929,John Thomas
CUST00104,Ray LLC,Retail,Manufacturing,East,India,Brooksland,powellkara@mayer.com,001-801-575-1863,2025-10-21,Inactive,Net 30,528007,Priya Nair
CUST00105,Morris-Campbell,Government,Manufacturing,North,India,New Melissa,patricia00@sims.com,427-670-6324,2022-05-22,Inactive,Net 15,674785,Rahul Sharma
CUST00106,"Ward, Miller and Beck",Government,Manufacturing,South,India,North Randy,jessica36@davis.com,(893)487-0051,2025-08-29,Inactive,Net 45,384618,Rahul Sharma
CUST00107,Perez Inc,Enterprise,IT,South,India,North Lawrenceport,patrickli@may.com,489-809-2753,2025-05-11,Suspended,Net 45,967888,Sneha Patel
CUST00108,Miller Inc,Retail,Logistics,South,Singapore,Port David,bbell@moody-wright.com,589.899.4043,2024-02-10,Active,Net 15,934574,Sneha Patel
CUST00109,"Brown, Hurst and Blevins",SMB,Healthcare,North,Australia,Cruzbury,elittle@oneal.com,(269)365-8271,2021-09-17,Active,Net 15,54809,Priya Nair
CUST00110,Lewis-Livingston,Government,IT,North,India,Hunterhaven,zhenderson@davidson.org,(741)841-8328,2026-08-01,Inactive,Net 15,881538,Sneha Patel
CUST00111,"Hines, Santos and Day",Enterprise,Telecom,South,India,Hollybury,sanchezsandy@chavez.com,721-402-0275x8842,2023-11-19,Active,Net 60,944751,Priya Nair
CUST00112,"Tanner, Wise and Johnson",Retail,Logistics,West,USA,Nelsonland,jennifer91@gibson-ward.info,001-225-224-1913,2021-09-13,Inactive,Net 30,636165,John Thomas
CUST00113,Williams LLC,Government,Finance,West,India,Moraburgh,tranrobin@rios.com,319-951-8023x806,2023-12-31,Inactive,Net 60,681172,John Thomas
CUST00114,Murphy-Tran,Enterprise,IT,West,Australia,West Jamesshire,jodi37@vargas-snyder.com,001-883-620-6038x5050,2022-06-24,Active,Net 30,535450,John Thomas
CUST00115,Moreno and Sons,Government,Education,West,Singapore,Vasquezton,jenniferdavis@merritt.biz,001-257-819-1826x199,2022-09-16,Inactive,Net 30,813185,Priya Nair
CUST00116,Carter LLC,SMB,Education,East,UK,Haynesmouth,shawn31@taylor.com,(712)577-5618,2025-06-10,Suspended,Net 45,387889,Arjun Kumar
CUST00117,Ford-Phelps,Enterprise,Education,North,Singapore,East Lindseyport,lewismelissa@davis.com,(980)344-2067x8831,2022-10-14,Inactive,Net 45,757689,John Thomas
CUST00118,Smith and Sons,Enterprise,Manufacturing,North,Singapore,East Madison,gina19@green.com,472.815.1070,2024-12-15,Inactive,Net 60,266464,Priya Nair
CUST00119,Johnson-Vega,Enterprise,Telecom,West,Australia,West Jason,joshuagriffin@johnson.org,847.468.7014,2025-02-28,Inactive,Net 30,850820,Priya Nair
CUST00120,Day PLC,Enterprise,Education,East,UK,Lake Virginia,mayokimberly@castillo-harrington.com,001-585-264-2059,2023-12-26,Suspended,Net 45,711614,Rahul Sharma
CUST00121,Stokes Group,Government,Logistics,West,UK,Katiebury,craigsandoval@ferguson-moody.com,001-439-565-2239x55905,2025-10-13,Inactive,Net 60,74071,Arjun Kumar
CUST00122,"Parker, Henry and Davis",Retail,Telecom,West,India,New Jeffery,nsmith@drake.com,700-629-2185x15691,2024-05-04,Suspended,Net 60,413714,John Thomas
CUST00123,Daugherty Ltd,Enterprise,Finance,North,USA,Connerfort,grant89@walker-chapman.com,(544)322-0969x0295,2025-10-25,Suspended,Net 45,107108,Sneha Patel
CUST00124,Rivera Inc,SMB,Telecom,South,Australia,West Toni,daisymccarty@santiago.com,433-815-4100x676,2025-10-15,Inactive,Net 15,614037,Rahul Sharma
CUST00125,Bell-Bennett,Enterprise,IT,West,USA,Kramershire,franciscojones@phillips.com,715-926-2181,2021-11-10,Inactive,Net 30,420608,Priya Nair
CUST00126,Dunlap-Martin,Enterprise,Healthcare,North,USA,Mooreville,jamie36@spencer.com,331-606-9872x0506,2025-09-06,Active,Net 45,972744,John Thomas
CUST00127,Davis and Sons,Government,Manufacturing,North,USA,Lake Kelly,wellsdarrell@ruiz-jacobson.com,286-625-6527,2025-05-03,Active,Net 60,964032,John Thomas
CUST00128,Baker-Hood,Enterprise,Telecom,East,USA,East Karenville,barnettlindsey@arellano-lawrence.net,6683687937,2024-12-14,Suspended,Net 30,618535,Priya Nair
CUST00129,"Johnson, Duncan and Black",Enterprise,Finance,South,UK,North Stacy,kthompson@stokes.com,(716)632-9451x16868,2026-01-06,Suspended,Net 45,710482,John Thomas
CUST00130,Stark-Smith,Government,Telecom,North,USA,Rodriguezberg,ashleyaguilar@buckley.com,885-464-6799x7024,2025-01-05,Inactive,Net 30,679474,John Thomas
CUST00131,Foster LLC,Government,IT,East,Australia,North Julie,penny05@collins-cameron.com,524.975.4691,2023-05-24,Inactive,Net 45,297736,Rahul Sharma
CUST00132,Figueroa-Malone,Government,Education,South,Singapore,Lorihaven,cameronmckinney@taylor-york.org,7235303070,2023-12-05,Active,Net 15,708956,Arjun Kumar
CUST00133,Colon-Wagner,Enterprise,Telecom,South,UK,Lake Anthonystad,lwheeler@matthews-bailey.com,614-806-0293x333,2025-12-17,Active,Net 15,436193,Arjun Kumar
CUST00134,Hancock Ltd,Government,Education,South,India,South Rhondaburgh,walkercharlene@marquez-fletcher.com,(765)674-3748x96910,2024-02-19,Suspended,Net 30,412920,Sneha Patel
CUST00135,"Rodriguez, Brown and Mcneil",SMB,Telecom,South,USA,Michelleview,jacob83@trujillo.biz,+1-752-507-4466x60993,2026-02-22,Suspended,Net 60,912522,Sneha Patel
CUST00136,"Glover, Knox and Powers",SMB,Manufacturing,North,India,Meganside,kellyruiz@green.com,+1-351-935-3465x54947,2022-01-19,Active,Net 30,166421,Arjun Kumar
CUST00137,"Silva, Blackburn and Jones",SMB,Healthcare,South,India,New David,amoreno@pitts.com,956.797.2521,2023-02-06,Suspended,Net 45,468034,Sneha Patel
CUST00138,Walters-Smith,Retail,Logistics,South,USA,Jasonburgh,tracygallagher@anderson.biz,(267)260-0835x0583,2023-09-18,Suspended,Net 60,793246,Rahul Sharma
CUST00139,Steele LLC,SMB,Education,East,India,Davidfurt,gary04@bryant-meyer.net,262-457-5326x03323,2022-08-23,Inactive,Net 45,585242,Priya Nair
CUST00140,Dawson-Conner,Government,Manufacturing,West,Australia,Mcdowellview,wheelerbrandon@valdez.com,001-616-876-1847x230,2022-06-15,Inactive,Net 30,878533,Arjun Kumar
CUST00141,"Meyer, Dean and Haynes",Government,Telecom,North,Singapore,Rivasville,campbellkristen@gonzalez-gonzalez.com,235.364.2087x37530,2022-07-15,Active,Net 60,439678,Rahul Sharma
CUST00142,"Caldwell, Hernandez and Davis",SMB,Education,West,Australia,Lake Jenniferview,stephenmadden@marshall-garcia.com,4454561100,2024-05-23,Inactive,Net 45,606542,Arjun Kumar
CUST00143,Kline-Friedman,Enterprise,Healthcare,East,India,Natalieland,lisa21@ross-bryant.biz,001-976-421-2021x697,2024-10-28,Inactive,Net 30,764743,Priya Nair
CUST00144,Carr-Huffman,Enterprise,Logistics,South,Singapore,South Samantha,clayscott@green.com,001-989-793-5889x163,2024-11-13,Inactive,Net 15,55287,Priya Nair
CUST00145,Combs PLC,Retail,IT,East,Australia,North Dawnburgh,kchristian@walton.com,340-983-8663x17797,2025-05-25,Active,Net 15,822042,John Thomas
CUST00146,Wilson-Jimenez,SMB,Logistics,North,Australia,North Richardton,petersenlatoya@walsh.info,550-237-5899x75711,2024-07-01,Inactive,Net 60,836667,Priya Nair
CUST00147,Gallegos-Brandt,SMB,Manufacturing,West,UK,Amystad,williamsfrank@underwood.biz,549-733-1637,2022-07-06,Active,Net 30,396699,John Thomas
CUST00148,Williams-Schultz,Government,IT,West,Singapore,Port Patriciamouth,tamarasmith@williams.info,529.622.1699x58669,2024-12-24,Active,Net 60,307802,Rahul Sharma
CUST00149,Waller-Chavez,Enterprise,Education,West,UK,East Robert,megan85@doyle.com,+1-845-622-8851x587,2025-03-10,Active,Net 15,572244,John Thomas
CUST00150,Mills Inc,Government,Education,South,Singapore,Thomaston,josephfloyd@vega-thomas.com,001-843-580-5719x838,2025-12-10,Active,Net 15,788345,Rahul Sharma
CUST00151,"Roberts, Beck and House",SMB,Logistics,West,UK,Butlermouth,smithjohn@melton.com,+1-359-889-3347x2122,2021-12-10,Active,Net 30,268134,Rahul Sharma
CUST00152,Ramirez-Baker,Enterprise,IT,North,USA,New Meghan,riverajenna@williams.org,5944798515,2026-01-09,Inactive,Net 15,142263,John Thomas
CUST00153,Hartman and Sons,Government,Healthcare,South,UK,Danielsfurt,baileynicole@rivera.org,378.801.5739x93056,2023-10-12,Suspended,Net 45,860951,Priya Nair
CUST00154,"Ramsey, Johnson and Black",Retail,Telecom,East,Australia,Williehaven,stucker@lee.com,001-288-901-3361x38612,2024-06-01,Active,Net 60,75053,John Thomas
CUST00155,Miller Inc,Retail,Manufacturing,South,India,Port Johnathan,andrewsjeremy@russell-hayes.biz,(350)661-8091x90158,2024-02-28,Active,Net 15,900916,John Thomas
CUST00156,"Miller, Hubbard and Kim",Government,IT,South,Singapore,Shorttown,omoore@francis.com,+1-824-350-8821x0099,2024-03-09,Inactive,Net 30,82265,Sneha Patel
CUST00157,Goodman Ltd,Government,Finance,North,Australia,Jasonhaven,eugenewalker@lee-white.org,5879814141,2024-05-29,Suspended,Net 45,121907,Sneha Patel
CUST00158,Anderson-Rios,Retail,Telecom,West,Australia,West Christineborough,todd59@torres.com,962-705-3364x52577,2024-03-12,Active,Net 15,64382,Arjun Kumar
CUST00159,Arnold-Thompson,Retail,Manufacturing,South,UK,Port Juanberg,josemercado@luna.net,+1-409-796-9308x4887,2024-12-07,Suspended,Net 45,482882,Arjun Kumar
